County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Albany,County Total,2013,,9457.0,1006.0,9.0,47.0,293.0,657.0,8451.0,1203.0,6998.0,250.0,Non-New York City
Allegany,County Total,2013,,796.0,54.0,0.0,9.0,4.0,41.0,742.0,194.0,534.0,14.0,Non-New York City
Bronx,County Total,2013,12.0,36280.0,13020.0,83.0,189.0,4456.0,8292.0,23260.0,2795.0,19016.0,1449.0,New York City
Broome,County Total,2013,,6706.0,512.0,8.0,51.0,153.0,300.0,6194.0,1162.0,4903.0,129.0,Non-New York City
Cattaraugus,County Total,2013,,1771.0,115.0,0.0,13.0,11.0,91.0,1656.0,309.0,1285.0,62.0,Non-New York City
Cayuga,County Total,2013,,1517.0,128.0,2.0,26.0,23.0,77.0,1389.0,269.0,1109.0,11.0,Non-New York City
Chautauqua,County Total,2013,,3637.0,274.0,2.0,30.0,65.0,177.0,3363.0,776.0,2540.0,47.0,Non-New York City
Chemung,County Total,2013,,2201.0,151.0,0.0,7.0,37.0,107.0,2050.0,351.0,1672.0,27.0,Non-New York City
Chenango,County Total,2013,,926.0,48.0,2.0,13.0,4.0,29.0,878.0,164.0,702.0,12.0,Non-New York City
Clinton,County Total,2013,,1666.0,111.0,3.0,21.0,9.0,78.0,1555.0,262.0,1254.0,39.0,Non-New York City
Columbia,County Total,2013,,1127.0,76.0,0.0,8.0,17.0,51.0,1051.0,207.0,830.0,14.0,Non-New York City
Cortland,County Total,2013,,1064.0,51.0,0.0,12.0,9.0,30.0,1013.0,210.0,791.0,12.0,Non-New York City
Delaware,County Total,2013,,806.0,56.0,2.0,7.0,5.0,42.0,750.0,172.0,561.0,17.0,Non-New York City
Dutchess,County Total,2013,,5121.0,584.0,12.0,28.0,150.0,394.0,4537.0,770.0,3629.0,138.0,Non-New York City
Erie,County Total,2013,,29295.0,4089.0,55.0,209.0,1501.0,2324.0,25206.0,5222.0,18729.0,1255.0,Non-New York City
Essex,County Total,2013,,449.0,43.0,0.0,8.0,2.0,33.0,406.0,121.0,266.0,19.0,Non-New York City
Franklin,County Total,2013,,876.0,61.0,1.0,10.0,3.0,47.0,815.0,179.0,608.0,28.0,Non-New York City
Fulton,County Total,2013,,1527.0,62.0,1.0,13.0,11.0,37.0,1465.0,262.0,1164.0,39.0,Non-New York City
Genesee,County Total,2013,,1467.0,109.0,0.0,22.0,22.0,65.0,1358.0,294.0,1044.0,20.0,Non-New York City
Greene,County Total,2013,,718.0,58.0,1.0,8.0,6.0,43.0,660.0,213.0,421.0,26.0,Non-New York City
Hamilton,County Total,2013,,62.0,4.0,0.0,0.0,0.0,4.0,58.0,21.0,37.0,0.0,Non-New York City
Herkimer,County Total,2013,,1190.0,126.0,4.0,15.0,7.0,100.0,1064.0,245.0,803.0,16.0,Non-New York City
Jefferson,County Total,2013,,2402.0,140.0,1.0,16.0,16.0,107.0,2262.0,339.0,1843.0,80.0,Non-New York City
Kings,County Total,2013,12.0,59056.0,18258.0,147.0,401.0,6854.0,10856.0,40798.0,5635.0,32557.0,2606.0,New York City
Lewis,County Total,2013,,332.0,24.0,1.0,1.0,0.0,22.0,308.0,95.0,199.0,14.0,Non-New York City
Livingston,County Total,2013,,1088.0,56.0,0.0,16.0,9.0,31.0,1032.0,185.0,814.0,33.0,Non-New York City
Madison,County Total,2013,,1156.0,55.0,1.0,9.0,7.0,38.0,1101.0,210.0,868.0,23.0,Non-New York City
Monroe,County Total,2013,,23076.0,2686.0,48.0,144.0,1133.0,1361.0,20390.0,4267.0,15236.0,887.0,Non-New York City
Montgomery,County Total,2013,,1125.0,48.0,0.0,4.0,13.0,31.0,1077.0,186.0,864.0,27.0,Non-New York City
Nassau,County Total,2013,,18683.0,2111.0,25.0,54.0,1043.0,989.0,16572.0,2355.0,13328.0,889.0,Non-New York City
New York,County Total,2013,12.0,51872.0,8708.0,39.0,236.0,3340.0,5093.0,43164.0,2775.0,39647.0,742.0,New York City
Niagara,County Total,2013,,6655.0,798.0,4.0,37.0,240.0,517.0,5857.0,1312.0,4323.0,222.0,Non-New York City
Oneida,County Total,2013,,5990.0,537.0,13.0,45.0,136.0,343.0,5453.0,1056.0,4228.0,169.0,Non-New York City
Onondaga,County Total,2013,,13987.0,1491.0,25.0,104.0,469.0,893.0,12496.0,2642.0,9312.0,542.0,Non-New York City
Ontario,County Total,2013,,2096.0,122.0,1.0,20.0,31.0,70.0,1974.0,388.0,1549.0,37.0,Non-New York City
Orange,County Total,2013,,8590.0,868.0,12.0,74.0,277.0,505.0,7722.0,1195.0,6310.0,217.0,Non-New York City
Orleans,County Total,2013,,747.0,59.0,1.0,6.0,8.0,44.0,688.0,196.0,468.0,24.0,Non-New York City
Oswego,County Total,2013,,2678.0,158.0,2.0,15.0,29.0,112.0,2520.0,521.0,1919.0,80.0,Non-New York City
Otsego,County Total,2013,,835.0,65.0,1.0,11.0,15.0,38.0,770.0,177.0,579.0,14.0,Non-New York City
Putnam,County Total,2013,,772.0,49.0,0.0,12.0,8.0,29.0,723.0,131.0,565.0,27.0,Non-New York City
Queens,County Total,2013,12.0,39913.0,10740.0,59.0,254.0,3994.0,6433.0,29173.0,4732.0,22030.0,2411.0,New York City
Rensselaer,County Total,2013,,4137.0,471.0,3.0,24.0,159.0,285.0,3666.0,917.0,2615.0,134.0,Non-New York City
Richmond,County Total,2013,12.0,7234.0,1658.0,7.0,32.0,526.0,1093.0,5576.0,669.0,4681.0,226.0,New York City
Rockland,County Total,2013,,3807.0,395.0,4.0,28.0,94.0,269.0,3412.0,408.0,2911.0,93.0,Non-New York City
Saratoga,County Total,2013,,3115.0,173.0,1.0,21.0,35.0,116.0,2942.0,494.0,2385.0,63.0,Non-New York City
Schenectady,County Total,2013,,5378.0,675.0,11.0,36.0,229.0,399.0,4703.0,1007.0,3500.0,196.0,Non-New York City
Schoharie,County Total,2013,,536.0,27.0,0.0,8.0,5.0,14.0,509.0,117.0,383.0,9.0,Non-New York City
Schuyler,County Total,2013,,165.0,14.0,0.0,0.0,1.0,13.0,151.0,33.0,111.0,7.0,Non-New York City
Seneca,County Total,2013,,794.0,62.0,2.0,8.0,5.0,47.0,732.0,123.0,599.0,10.0,Non-New York City
St Lawrence,County Total,2013,,1965.0,112.0,1.0,10.0,12.0,89.0,1853.0,345.0,1470.0,38.0,Non-New York City
Steuben,County Total,2013,,1541.0,123.0,1.0,21.0,13.0,88.0,1418.0,269.0,1125.0,24.0,Non-New York City
Suffolk,County Total,2013,,26379.0,1934.0,27.0,53.0,694.0,1160.0,24445.0,3610.0,19656.0,1179.0,Non-New York City
Sullivan,County Total,2013,,1720.0,172.0,1.0,18.0,22.0,131.0,1548.0,484.0,1024.0,40.0,Non-New York City
Tioga,County Total,2013,,650.0,27.0,1.0,4.0,5.0,17.0,623.0,166.0,432.0,25.0,Non-New York City
Tompkins,County Total,2013,,2902.0,109.0,1.0,13.0,29.0,66.0,2793.0,459.0,2296.0,38.0,Non-New York City
Ulster,County Total,2013,,3582.0,294.0,3.0,31.0,52.0,208.0,3288.0,593.0,2640.0,55.0,Non-New York City
Warren,County Total,2013,,1297.0,53.0,1.0,10.0,7.0,35.0,1244.0,158.0,1073.0,13.0,Non-New York City
Washington,County Total,2013,,882.0,71.0,1.0,5.0,6.0,59.0,811.0,187.0,601.0,23.0,Non-New York City
Wayne,County Total,2013,,1842.0,153.0,4.0,21.0,29.0,99.0,1689.0,469.0,1182.0,38.0,Non-New York City
Westchester,County Total,2013,,14135.0,2192.0,11.0,59.0,843.0,1279.0,11943.0,1678.0,9646.0,619.0,Non-New York City
Wyoming,County Total,2013,,510.0,41.0,0.0,3.0,2.0,36.0,469.0,82.0,379.0,8.0,Non-New York City
Yates,County Total,2013,,413.0,14.0,0.0,6.0,1.0,7.0,399.0,112.0,284.0,3.0,Non-New York City
